publish_date,article_slug,channel,destination_type,destination_url,utm_source,utm_medium,utm_campaign,utm_content,tracked_url
2026-08-19,four-career-compasses,instagram,cta,https://start.careerdirect.kr/career-check,instagram,organic_social,blog_launch_2026q3,four-career-compasses_instagram_20260819_cta,https://start.careerdirect.kr/career-check?utm_source=instagram&utm_medium=organic_social&utm_campaign=blog_launch_2026q3&utm_content=four-career-compasses_instagram_20260819_cta
2026-08-19,four-career-compasses,facebook,cta,https://start.careerdirect.kr/career-check,facebook,organic_social,blog_launch_2026q3,four-career-compasses_facebook_20260819_cta,https://start.careerdirect.kr/career-check?utm_source=facebook&utm_medium=organic_social&utm_campaign=blog_launch_2026q3&utm_content=four-career-compasses_facebook_20260819_cta
2026-08-19,four-career-compasses,threads,cta,https://start.careerdirect.kr/career-check,threads,organic_social,blog_launch_2026q3,four-career-compasses_threads_20260819_cta,https://start.careerdirect.kr/career-check?utm_source=threads&utm_medium=organic_social&utm_campaign=blog_launch_2026q3&utm_content=four-career-compasses_threads_20260819_cta
2026-08-21,should-i-change-jobs,naver_blog,article,https://www.careerdirect.kr/blog/should-i-change-jobs,naver_blog,organic_social,blog_launch_2026q3,should-i-change-jobs_naver_blog_20260821,https://www.careerdirect.kr/blog/should-i-change-jobs?utm_source=naver_blog&utm_medium=organic_social&utm_campaign=blog_launch_2026q3&utm_content=should-i-change-jobs_naver_blog_20260821
2026-08-21,should-i-change-jobs,instagram,article,https://www.careerdirect.kr/blog/should-i-change-jobs,instagram,organic_social,blog_launch_2026q3,should-i-change-jobs_instagram_20260821,https://www.careerdirect.kr/blog/should-i-change-jobs?utm_source=instagram&utm_medium=organic_social&utm_campaign=blog_launch_2026q3&utm_content=should-i-change-jobs_instagram_20260821
2026-08-21,should-i-change-jobs,facebook,article,https://www.careerdirect.kr/blog/should-i-change-jobs,facebook,organic_social,blog_launch_2026q3,should-i-change-jobs_facebook_20260821,https://www.careerdirect.kr/blog/should-i-change-jobs?utm_source=facebook&utm_medium=organic_social&utm_campaign=blog_launch_2026q3&utm_content=should-i-change-jobs_facebook_20260821
2026-08-21,should-i-change-jobs,threads,article,https://www.careerdirect.kr/blog/should-i-change-jobs,threads,organic_social,blog_launch_2026q3,should-i-change-jobs_threads_20260821,https://www.careerdirect.kr/blog/should-i-change-jobs?utm_source=threads&utm_medium=organic_social&utm_campaign=blog_launch_2026q3&utm_content=should-i-change-jobs_threads_20260821
2026-08-21,should-i-change-jobs,naver_blog,cta,https://start.careerdirect.kr/assessment-consultation,naver_blog,organic_social,blog_launch_2026q3,should-i-change-jobs_naver_blog_20260821_cta,https://start.careerdirect.kr/assessment-consultation?utm_source=naver_blog&utm_medium=organic_social&utm_campaign=blog_launch_2026q3&utm_content=should-i-change-jobs_naver_blog_20260821_cta
2026-08-21,should-i-change-jobs,instagram,cta,https://start.careerdirect.kr/assessment-consultation,instagram,organic_social,blog_launch_2026q3,should-i-change-jobs_instagram_20260821_cta,https://start.careerdirect.kr/assessment-consultation?utm_source=instagram&utm_medium=organic_social&utm_campaign=blog_launch_2026q3&utm_content=should-i-change-jobs_instagram_20260821_cta
2026-08-21,should-i-change-jobs,facebook,cta,https://start.careerdirect.kr/assessment-consultation,facebook,organic_social,blog_launch_2026q3,should-i-change-jobs_facebook_20260821_cta,https://start.careerdirect.kr/assessment-consultation?utm_source=facebook&utm_medium=organic_social&utm_campaign=blog_launch_2026q3&utm_content=should-i-change-jobs_facebook_20260821_cta
2026-08-21,should-i-change-jobs,threads,cta,https://start.careerdirect.kr/assessment-consultation,threads,organic_social,blog_launch_2026q3,should-i-change-jobs_threads_20260821_cta,https://start.careerdirect.kr/assessment-consultation?utm_source=threads&utm_medium=organic_social&utm_campaign=blog_launch_2026q3&utm_content=should-i-change-jobs_threads_20260821_cta
2026-08-24,ai-job-anxiety-checklist,naver_blog,article,https://www.careerdirect.kr/blog/ai-job-anxiety-checklist,naver_blog,organic_social,blog_launch_2026q3,ai-job-anxiety-checklist_naver_blog_20260824,https://www.careerdirect.kr/blog/ai-job-anxiety-checklist?utm_source=naver_blog&utm_medium=organic_social&utm_campaign=blog_launch_2026q3&utm_content=ai-job-anxiety-checklist_naver_blog_20260824
2026-08-24,ai-job-anxiety-checklist,instagram,article,https://www.careerdirect.kr/blog/ai-job-anxiety-checklist,instagram,organic_social,blog_launch_2026q3,ai-job-anxiety-checklist_instagram_20260824,https://www.careerdirect.kr/blog/ai-job-anxiety-checklist?utm_source=instagram&utm_medium=organic_social&utm_campaign=blog_launch_2026q3&utm_content=ai-job-anxiety-checklist_instagram_20260824
2026-08-24,ai-job-anxiety-checklist,facebook,article,https://www.careerdirect.kr/blog/ai-job-anxiety-checklist,facebook,organic_social,blog_launch_2026q3,ai-job-anxiety-checklist_facebook_20260824,https://www.careerdirect.kr/blog/ai-job-anxiety-checklist?utm_source=facebook&utm_medium=organic_social&utm_campaign=blog_launch_2026q3&utm_content=ai-job-anxiety-checklist_facebook_20260824
2026-08-24,ai-job-anxiety-checklist,threads,article,https://www.careerdirect.kr/blog/ai-job-anxiety-checklist,threads,organic_social,blog_launch_2026q3,ai-job-anxiety-checklist_threads_20260824,https://www.careerdirect.kr/blog/ai-job-anxiety-checklist?utm_source=threads&utm_medium=organic_social&utm_campaign=blog_launch_2026q3&utm_content=ai-job-anxiety-checklist_threads_20260824
2026-08-24,ai-job-anxiety-checklist,naver_blog,cta,https://start.careerdirect.kr/career-check,naver_blog,organic_social,blog_launch_2026q3,ai-job-anxiety-checklist_naver_blog_20260824_cta,https://start.careerdirect.kr/career-check?utm_source=naver_blog&utm_medium=organic_social&utm_campaign=blog_launch_2026q3&utm_content=ai-job-anxiety-checklist_naver_blog_20260824_cta
2026-08-24,ai-job-anxiety-checklist,instagram,cta,https://start.careerdirect.kr/career-check,instagram,organic_social,blog_launch_2026q3,ai-job-anxiety-checklist_instagram_20260824_cta,https://start.careerdirect.kr/career-check?utm_source=instagram&utm_medium=organic_social&utm_campaign=blog_launch_2026q3&utm_content=ai-job-anxiety-checklist_instagram_20260824_cta
2026-08-24,ai-job-anxiety-checklist,facebook,cta,https://start.careerdirect.kr/career-check,facebook,organic_social,blog_launch_2026q3,ai-job-anxiety-checklist_facebook_20260824_cta,https://start.careerdirect.kr/career-check?utm_source=facebook&utm_medium=organic_social&utm_campaign=blog_launch_2026q3&utm_content=ai-job-anxiety-checklist_facebook_20260824_cta
2026-08-24,ai-job-anxiety-checklist,threads,cta,https://start.careerdirect.kr/career-check,threads,organic_social,blog_launch_2026q3,ai-job-anxiety-checklist_threads_20260824_cta,https://start.careerdirect.kr/career-check?utm_source=threads&utm_medium=organic_social&utm_campaign=blog_launch_2026q3&utm_content=ai-job-anxiety-checklist_threads_20260824_cta
2026-08-26,what-i-like-vs-what-i-do-well,naver_blog,article,https://www.careerdirect.kr/blog/what-i-like-vs-what-i-do-well,naver_blog,organic_social,blog_launch_2026q3,what-i-like-vs-what-i-do-well_naver_blog_20260826,https://www.careerdirect.kr/blog/what-i-like-vs-what-i-do-well?utm_source=naver_blog&utm_medium=organic_social&utm_campaign=blog_launch_2026q3&utm_content=what-i-like-vs-what-i-do-well_naver_blog_20260826
2026-08-26,what-i-like-vs-what-i-do-well,instagram,article,https://www.careerdirect.kr/blog/what-i-like-vs-what-i-do-well,instagram,organic_social,blog_launch_2026q3,what-i-like-vs-what-i-do-well_instagram_20260826,https://www.careerdirect.kr/blog/what-i-like-vs-what-i-do-well?utm_source=instagram&utm_medium=organic_social&utm_campaign=blog_launch_2026q3&utm_content=what-i-like-vs-what-i-do-well_instagram_20260826
2026-08-26,what-i-like-vs-what-i-do-well,facebook,article,https://www.careerdirect.kr/blog/what-i-like-vs-what-i-do-well,facebook,organic_social,blog_launch_2026q3,what-i-like-vs-what-i-do-well_facebook_20260826,https://www.careerdirect.kr/blog/what-i-like-vs-what-i-do-well?utm_source=facebook&utm_medium=organic_social&utm_campaign=blog_launch_2026q3&utm_content=what-i-like-vs-what-i-do-well_facebook_20260826
2026-08-26,what-i-like-vs-what-i-do-well,threads,article,https://www.careerdirect.kr/blog/what-i-like-vs-what-i-do-well,threads,organic_social,blog_launch_2026q3,what-i-like-vs-what-i-do-well_threads_20260826,https://www.careerdirect.kr/blog/what-i-like-vs-what-i-do-well?utm_source=threads&utm_medium=organic_social&utm_campaign=blog_launch_2026q3&utm_content=what-i-like-vs-what-i-do-well_threads_20260826
2026-08-26,what-i-like-vs-what-i-do-well,naver_blog,cta,https://start.careerdirect.kr/career-check,naver_blog,organic_social,blog_launch_2026q3,what-i-like-vs-what-i-do-well_naver_blog_20260826_cta,https://start.careerdirect.kr/career-check?utm_source=naver_blog&utm_medium=organic_social&utm_campaign=blog_launch_2026q3&utm_content=what-i-like-vs-what-i-do-well_naver_blog_20260826_cta
2026-08-26,what-i-like-vs-what-i-do-well,instagram,cta,https://start.careerdirect.kr/career-check,instagram,organic_social,blog_launch_2026q3,what-i-like-vs-what-i-do-well_instagram_20260826_cta,https://start.careerdirect.kr/career-check?utm_source=instagram&utm_medium=organic_social&utm_campaign=blog_launch_2026q3&utm_content=what-i-like-vs-what-i-do-well_instagram_20260826_cta
2026-08-26,what-i-like-vs-what-i-do-well,facebook,cta,https://start.careerdirect.kr/career-check,facebook,organic_social,blog_launch_2026q3,what-i-like-vs-what-i-do-well_facebook_20260826_cta,https://start.careerdirect.kr/career-check?utm_source=facebook&utm_medium=organic_social&utm_campaign=blog_launch_2026q3&utm_content=what-i-like-vs-what-i-do-well_facebook_20260826_cta
2026-08-26,what-i-like-vs-what-i-do-well,threads,cta,https://start.careerdirect.kr/career-check,threads,organic_social,blog_launch_2026q3,what-i-like-vs-what-i-do-well_threads_20260826_cta,https://start.careerdirect.kr/career-check?utm_source=threads&utm_medium=organic_social&utm_campaign=blog_launch_2026q3&utm_content=what-i-like-vs-what-i-do-well_threads_20260826_cta
2026-08-28,before-career-transition,naver_blog,article,https://www.careerdirect.kr/blog/before-career-transition,naver_blog,organic_social,blog_launch_2026q3,before-career-transition_naver_blog_20260828,https://www.careerdirect.kr/blog/before-career-transition?utm_source=naver_blog&utm_medium=organic_social&utm_campaign=blog_launch_2026q3&utm_content=before-career-transition_naver_blog_20260828
2026-08-28,before-career-transition,instagram,article,https://www.careerdirect.kr/blog/before-career-transition,instagram,organic_social,blog_launch_2026q3,before-career-transition_instagram_20260828,https://www.careerdirect.kr/blog/before-career-transition?utm_source=instagram&utm_medium=organic_social&utm_campaign=blog_launch_2026q3&utm_content=before-career-transition_instagram_20260828
2026-08-28,before-career-transition,facebook,article,https://www.careerdirect.kr/blog/before-career-transition,facebook,organic_social,blog_launch_2026q3,before-career-transition_facebook_20260828,https://www.careerdirect.kr/blog/before-career-transition?utm_source=facebook&utm_medium=organic_social&utm_campaign=blog_launch_2026q3&utm_content=before-career-transition_facebook_20260828
2026-08-28,before-career-transition,threads,article,https://www.careerdirect.kr/blog/before-career-transition,threads,organic_social,blog_launch_2026q3,before-career-transition_threads_20260828,https://www.careerdirect.kr/blog/before-career-transition?utm_source=threads&utm_medium=organic_social&utm_campaign=blog_launch_2026q3&utm_content=before-career-transition_threads_20260828
2026-08-28,before-career-transition,naver_blog,cta,https://start.careerdirect.kr/assessment-consultation,naver_blog,organic_social,blog_launch_2026q3,before-career-transition_naver_blog_20260828_cta,https://start.careerdirect.kr/assessment-consultation?utm_source=naver_blog&utm_medium=organic_social&utm_campaign=blog_launch_2026q3&utm_content=before-career-transition_naver_blog_20260828_cta
2026-08-28,before-career-transition,instagram,cta,https://start.careerdirect.kr/assessment-consultation,instagram,organic_social,blog_launch_2026q3,before-career-transition_instagram_20260828_cta,https://start.careerdirect.kr/assessment-consultation?utm_source=instagram&utm_medium=organic_social&utm_campaign=blog_launch_2026q3&utm_content=before-career-transition_instagram_20260828_cta
2026-08-28,before-career-transition,facebook,cta,https://start.careerdirect.kr/assessment-consultation,facebook,organic_social,blog_launch_2026q3,before-career-transition_facebook_20260828_cta,https://start.careerdirect.kr/assessment-consultation?utm_source=facebook&utm_medium=organic_social&utm_campaign=blog_launch_2026q3&utm_content=before-career-transition_facebook_20260828_cta
2026-08-28,before-career-transition,threads,cta,https://start.careerdirect.kr/assessment-consultation,threads,organic_social,blog_launch_2026q3,before-career-transition_threads_20260828_cta,https://start.careerdirect.kr/assessment-consultation?utm_source=threads&utm_medium=organic_social&utm_campaign=blog_launch_2026q3&utm_content=before-career-transition_threads_20260828_cta
